id,name,region,current_type,source_file,canonical_source_candidate,generated_url,day_refs,region_refs,walk_refs,map_ref,search_ref,has_dedicated_place_page,current_content_depth,facts_status,source_status,duplicate_candidate,alias_candidate,orphan_status,archive_candidate,notes
clos,Clos Montmartre 외관·북사면 골목,day-referenced,day_stop_sight,data/daily-cards/ (multiple days),data/daily-cards/,,Day 40,,,N,N,N,NONE,0/11 facts (timeline stop only),DAY_CARD_STOP_ONLY,,,"NO_PLACE_PAGE,NO_REGISTRY",N,일정표 세부 활동/음식점/정차점 (Day stop ID: clos)
coulee-verte,Coulée verte·Seine 야경 산책,day-referenced,day_stop_sight,data/daily-cards/ (multiple days),data/daily-cards/,,Day 34,,,N,N,N,NONE,0/11 facts (timeline stop only),DAY_CARD_STOP_ONLY,,,"NO_PLACE_PAGE,NO_REGISTRY",N,일정표 세부 활동/음식점/정차점 (Day stop ID: coulee-verte)
croisette,La Croisette,day-referenced,day_stop_sight,data/daily-cards/ (multiple days),data/daily-cards/,,Day 09,,,N,N,N,NONE,0/11 facts (timeline stop only),DAY_CARD_STOP_ONLY,,,"NO_PLACE_PAGE,NO_REGISTRY",N,일정표 세부 활동/음식점/정차점 (Day stop ID: croisette)
croix-rousse-market,Croix-Rousse 시장,day-referenced,day_stop_shopping,data/daily-cards/ (multiple days),data/daily-cards/,,Day 25,,,N,N,N,NONE,0/11 facts (timeline stop only),DAY_CARD_STOP_ONLY,,,"NO_PLACE_PAGE,NO_REGISTRY",N,일정표 세부 활동/음식점/정차점 (Day stop ID: croix-rousse-market)
croix-rousse-slopes,Croix-Rousse 평지와 slopes,day-referenced,day_stop_sight,data/daily-cards/ (multiple days),data/daily-cards/,,Day 25,,,N,N,N,NONE,0/11 facts (timeline stop only),DAY_CARD_STOP_ONLY,,,"NO_PLACE_PAGE,NO_REGISTRY",N,일정표 세부 활동/음식점/정차점 (Day stop ID: croix-rousse-slopes)
culture-pick,박물관 1곳 / BnF Richelieu / 동네 권역,day-referenced,day_stop_culture,data/daily-cards/ (multiple days),data/daily-cards/,,Day 36,,,N,N,N,NONE,0/11 facts (timeline stop only),DAY_CARD_STOP_ONLY,,,"NO_PLACE_PAGE,NO_REGISTRY",N,일정표 세부 활동/음식점/정차점 (Day stop ID: culture-pick)
eiffel-lights,Trocadéro 에펠탑 점등 조망,day-referenced,day_stop_sight,data/daily-cards/ (multiple days),data/daily-cards/,,Day 41,,,N,N,N,NONE,0/11 facts (timeline stop only),DAY_CARD_STOP_ONLY,,,"NO_PLACE_PAGE,NO_REGISTRY",N,일정표 세부 활동/음식점/정차점 (Day stop ID: eiffel-lights)
farm-rest,농가 귀환·휴식,day-referenced,day_stop_hotel,data/daily-cards/ (multiple days),data/daily-cards/,,Day 17,,,N,N,N,NONE,0/11 facts (timeline stop only),DAY_CARD_STOP_ONLY,,,"NO_PLACE_PAGE,NO_REGISTRY",N,일정표 세부 활동/음식점/정차점 (Day stop ID: farm-rest)
festival,Fête des Vendanges 공식 프로그램,day-referenced,day_stop_activity,data/daily-cards/ (multiple days),data/daily-cards/,,Day 40,,,N,N,N,NONE,0/11 facts (timeline stop only),DAY_CARD_STOP_ONLY,,,"NO_PLACE_PAGE,NO_REGISTRY",N,일정표 세부 활동/음식점/정차점 (Day stop ID: festival)
gare-de-lyon,TGV→Paris Gare de Lyon,day-referenced,day_stop_transport,data/daily-cards/ (multiple days),data/daily-cards/,,Day 27,,,N,N,N,NONE,0/11 facts (timeline stop only),DAY_CARD_STOP_ONLY,,,"NO_PLACE_PAGE,NO_REGISTRY",N,일정표 세부 활동/음식점/정차점 (Day stop ID: gare-de-lyon)
goult-buffer,체크인 전 완충 — Goult,day-referenced,day_stop_sight,data/daily-cards/ (multiple days),data/daily-cards/,,Day 16,,,N,N,N,NONE,0/11 facts (timeline stop only),DAY_CARD_STOP_ONLY,,,"NO_PLACE_PAGE,NO_REGISTRY",N,일정표 세부 활동/음식점/정차점 (Day stop ID: goult-buffer)
gracia,Vila de Gràcia,day-referenced,day_stop_sight,data/daily-cards/ (multiple days),data/daily-cards/,,Day 02,,,N,N,N,NONE,0/11 facts (timeline stop only),DAY_CARD_STOP_ONLY,,,"NO_PLACE_PAGE,NO_REGISTRY",N,일정표 세부 활동/음식점/정차점 (Day stop ID: gracia)
granet,Musée Granet,day-referenced,day_stop_culture,data/daily-cards/ (multiple days),data/daily-cards/,,Day 13,,,N,N,N,NONE,0/11 facts (timeline stop only),DAY_CARD_STOP_ONLY,,musee-granet,"NO_PLACE_PAGE,NO_REGISTRY",N,일정표 세부 활동/음식점/정차점 (Day stop ID: granet)
halles,Halles de Lyon Paul Bocuse 점심,day-referenced,day_stop_food,data/daily-cards/ (multiple days),data/daily-cards/,,Day 25,,,N,N,N,NONE,0/11 facts (timeline stop only),DAY_CARD_STOP_ONLY,,,"NO_PLACE_PAGE,NO_REGISTRY",N,일정표 세부 활동/음식점/정차점 (Day stop ID: halles)
haut-marais,북마레 또는 숙소권 산책,day-referenced,day_stop_sight,data/daily-cards/ (multiple days),data/daily-cards/,,Day 31,,,N,N,N,NONE,0/11 facts (timeline stop only),DAY_CARD_STOP_ONLY,,,"NO_PLACE_PAGE,NO_REGISTRY",N,일정표 세부 활동/음식점/정차점 (Day stop ID: haut-marais)
la-paradeta-sagrada,La Paradeta Sagrada Família,day-referenced,day_stop_food,data/daily-cards/ (multiple days),data/daily-cards/,,Day 02,,,N,N,N,NONE,0/11 facts (timeline stop only),DAY_CARD_STOP_ONLY,,,"NO_PLACE_PAGE,NO_REGISTRY",N,일정표 세부 활동/음식점/정차점 (Day stop ID: la-paradeta-sagrada)
lake-free,호숫가 자유시간·역 이동,day-referenced,day_stop_sight,data/daily-cards/ (multiple days),data/daily-cards/,,Day 26,,,N,N,N,NONE,0/11 facts (timeline stop only),DAY_CARD_STOP_ONLY,,,"NO_PLACE_PAGE,NO_REGISTRY",N,일정표 세부 활동/음식점/정차점 (Day stop ID: lake-free)
lakefront,Jardins de l'Europe·Pont des Amours·Pâquier,day-referenced,day_stop_sight,data/daily-cards/ (multiple days),data/daily-cards/,,Day 26,,,N,N,N,NONE,0/11 facts (timeline stop only),DAY_CARD_STOP_ONLY,,,"NO_PLACE_PAGE,NO_REGISTRY",N,일정표 세부 활동/음식점/정차점 (Day stop ID: lakefront)
laundry,세탁·냉장고 정리·점심,day-referenced,day_stop_hotel,data/daily-cards/ (multiple days),data/daily-cards/,,Day 31,,,N,N,N,NONE,0/11 facts (timeline stop only),DAY_CARD_STOP_ONLY,,,"NO_PLACE_PAGE,NO_REGISTRY",N,일정표 세부 활동/음식점/정차점 (Day stop ID: laundry)
liberation-market,Marché de la Libération,day-referenced,day_stop_shopping,data/daily-cards/ (multiple days),data/daily-cards/,,Day 11,,,N,N,N,NONE,0/11 facts (timeline stop only),DAY_CARD_STOP_ONLY,,marche-de-la-liberation,"NO_PLACE_PAGE,NO_REGISTRY",N,일정표 세부 활동/음식점/정차점 (Day stop ID: liberation-market)
luxembourg,Jardin du Luxembourg,day-referenced,day_stop_sight,data/daily-cards/ (multiple days),data/daily-cards/,,Day 29,,,N,N,N,NONE,0/11 facts (timeline stop only),DAY_CARD_STOP_ONLY,,,"NO_PLACE_PAGE,NO_REGISTRY",N,일정표 세부 활동/음식점/정차점 (Day stop ID: luxembourg)
mazarin,Quartier Mazarin,day-referenced,day_stop_sight,data/daily-cards/ (multiple days),data/daily-cards/,,Day 13,,,N,N,N,NONE,0/11 facts (timeline stop only),DAY_CARD_STOP_ONLY,,,"NO_PLACE_PAGE,NO_REGISTRY",N,일정표 세부 활동/음식점/정차점 (Day stop ID: mazarin)
menton-old-town,Menton 구시가지 & 해변 산책,day-referenced,day_stop_sight,data/daily-cards/ (multiple days),data/daily-cards/,,Day 10,,,N,N,N,NONE,0/11 facts (timeline stop only),DAY_CARD_STOP_ONLY,,,"NO_PLACE_PAGE,NO_REGISTRY",N,일정표 세부 활동/음식점/정차점 (Day stop ID: menton-old-town)
mercat-concepcio,Mercat de la Concepció,day-referenced,day_stop_shopping,data/daily-cards/ (multiple days),data/daily-cards/,,Day 03,,,N,N,N,NONE,0/11 facts (timeline stop only),DAY_CARD_STOP_ONLY,,,"NO_PLACE_PAGE,NO_REGISTRY",N,일정표 세부 활동/음식점/정차점 (Day stop ID: mercat-concepcio)
montaigne,Avenue Montaigne,day-referenced,day_stop_sight,data/daily-cards/ (multiple days),data/daily-cards/,,Day 33,,,N,N,N,NONE,0/11 facts (timeline stop only),DAY_CARD_STOP_ONLY,,,"NO_PLACE_PAGE,NO_REGISTRY",N,일정표 세부 활동/음식점/정차점 (Day stop ID: montaigne)
monte-carlo,Monte-Carlo & 점심,day-referenced,day_stop_sight,data/daily-cards/ (multiple days),data/daily-cards/,,Day 10,,,N,N,N,NONE,0/11 facts (timeline stop only),DAY_CARD_STOP_ONLY,,,"NO_PLACE_PAGE,NO_REGISTRY",N,일정표 세부 활동/음식점/정차점 (Day stop ID: monte-carlo)
neighborhood,슈퍼·빵집·약국·세탁소 확인,day-referenced,day_stop_shopping,data/daily-cards/ (multiple days),data/daily-cards/,,Day 28,,,N,N,N,NONE,0/11 facts (timeline stop only),DAY_CARD_STOP_ONLY,,,"NO_PLACE_PAGE,NO_REGISTRY",N,일정표 세부 활동/음식점/정차점 (Day stop ID: neighborhood)
nice-station-pickup,Nice역 렌터카 인수,day-referenced,day_stop_transport,data/daily-cards/ (multiple days),data/daily-cards/,,Day 12,,,N,N,N,NONE,0/11 facts (timeline stop only),DAY_CARD_STOP_ONLY,,,"NO_PLACE_PAGE,NO_REGISTRY",N,일정표 세부 활동/음식점/정차점 (Day stop ID: nice-station-pickup)
opera,Avenue de l'Opéra·Opéra 지구,day-referenced,day_stop_sight,data/daily-cards/ (multiple days),data/daily-cards/,,Day 30,,,N,N,N,NONE,0/11 facts (timeline stop only),DAY_CARD_STOP_ONLY,,,"NO_PLACE_PAGE,NO_REGISTRY",N,일정표 세부 활동/음식점/정차점 (Day stop ID: opera)
orsay,Musée d'Orsay,day-referenced,day_stop_culture,data/daily-cards/ (multiple days),data/daily-cards/,,Day 32,,,N,N,N,NONE,0/11 facts (timeline stop only),DAY_CARD_STOP_ONLY,,musee-d-orsay,"NO_PLACE_PAGE,NO_REGISTRY",N,일정표 세부 활동/음식점/정차점 (Day stop ID: orsay)
palais,Palais des Papes,day-referenced,day_stop_culture,data/daily-cards/ (multiple days),data/daily-cards/,,Day 20,,,N,N,N,NONE,0/11 facts (timeline stop only),DAY_CARD_STOP_ONLY,,palais-des-papes,"NO_PLACE_PAGE,NO_REGISTRY",N,일정표 세부 활동/음식점/정차점 (Day stop ID: palais)
palais-tokyo,Palais de Tokyo 권역,day-referenced,day_stop_sight,data/daily-cards/ (multiple days),data/daily-cards/,,Day 33,,,N,N,N,NONE,0/11 facts (timeline stop only),DAY_CARD_STOP_ONLY,,,"NO_PLACE_PAGE,NO_REGISTRY",N,일정표 세부 활동/음식점/정차점 (Day stop ID: palais-tokyo)
part-dieu,TGV 12176→Lyon Part-Dieu,day-referenced,day_stop_transport,data/daily-cards/ (multiple days),data/daily-cards/,,"Day 23,Day 26",,,N,N,N,NONE,0/11 facts (timeline stop only),DAY_CARD_STOP_ONLY,,,"NO_PLACE_PAGE,NO_REGISTRY",N,일정표 세부 활동/음식점/정차점 (Day stop ID: part-dieu)
port-hercule,Port Hercule,day-referenced,day_stop_sight,data/daily-cards/ (multiple days),data/daily-cards/,,Day 10,,,N,N,N,NONE,0/11 facts (timeline stop only),DAY_CARD_STOP_ONLY,,,"NO_PLACE_PAGE,NO_REGISTRY",N,일정표 세부 활동/음식점/정차점 (Day stop ID: port-hercule)
port-lympia,Port 산책,day-referenced,day_stop_sight,data/daily-cards/ (multiple days),data/daily-cards/,,Day 08,,,N,N,N,NONE,0/11 facts (timeline stop only),DAY_CARD_STOP_ONLY,,,"NO_PLACE_PAGE,NO_REGISTRY",N,일정표 세부 활동/음식점/정차점 (Day stop ID: port-lympia)
promenade,숙소 주변 산책 및 가벼운 저녁,day-referenced,day_stop_sight,data/daily-cards/ (multiple days),data/daily-cards/,,"Day 07,Day 11",,,N,N,N,NONE,0/11 facts (timeline stop only),DAY_CARD_STOP_ONLY,,promenade-des-anglais,"NO_PLACE_PAGE,NO_REGISTRY",N,일정표 세부 활동/음식점/정차점 (Day stop ID: promenade)
rocher-doms,Rocher des Doms,day-referenced,day_stop_sight,data/daily-cards/ (multiple days),data/daily-cards/,,Day 20,,,N,N,N,NONE,0/11 facts (timeline stop only),DAY_CARD_STOP_ONLY,,rocher-des-doms,"NO_PLACE_PAGE,NO_REGISTRY",N,일정표 세부 활동/음식점/정차점 (Day stop ID: rocher-doms)
rosaire,Jardin du Rosaire 하산,day-referenced,day_stop_sight,data/daily-cards/ (multiple days),data/daily-cards/,,Day 24,,,N,N,N,NONE,0/11 facts (timeline stop only),DAY_CARD_STOP_ONLY,,,"NO_PLACE_PAGE,NO_REGISTRY",N,일정표 세부 활동/음식점/정차점 (Day stop ID: rosaire)
