entity_type,entity_id,entity_name,region,days,photo_status,intro_status,menu_or_signature_status,price_status,map_status,site_status,hours_status,reservation_status,day_link_status,guide_link_status,search_status,offline_status,overall_verdict,action_needed
ATTRACTION,cours-saleya,---,nice,,NOT_APPLICABLE,COMPLETE,NOT_APPLICABLE,NOT_APPLICABLE,COMPLETE,NOT_APPLICABLE,COMPLETE_UNVERIFIED,NOT_APPLICABLE,NOT_APPLICABLE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,NONE
ATTRACTION,coustellet,---,luberon,,NOT_APPLICABLE,COMPLETE,NOT_APPLICABLE,NOT_APPLICABLE,COMPLETE,NOT_APPLICABLE,COMPLETE_UNVERIFIED,NOT_APPLICABLE,NOT_APPLICABLE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,NONE
ATTRACTION,croix-rousse,---,lyon,,NOT_APPLICABLE,COMPLETE,NOT_APPLICABLE,NOT_APPLICABLE,COMPLETE,NOT_APPLICABLE,COMPLETE_UNVERIFIED,NOT_APPLICABLE,NOT_APPLICABLE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,NONE
ATTRACTION,daniel-et-denise,---,lyon,,NOT_APPLICABLE,COMPLETE,NOT_APPLICABLE,NOT_APPLICABLE,COMPLETE,NOT_APPLICABLE,COMPLETE_UNVERIFIED,NOT_APPLICABLE,NOT_APPLICABLE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,NONE
ATTRACTION,fondation-vincent-van-gogh-arles,---,unknown,,NOT_APPLICABLE,COMPLETE,NOT_APPLICABLE,NOT_APPLICABLE,COMPLETE,NOT_APPLICABLE,COMPLETE_UNVERIFIED,NOT_APPLICABLE,NOT_APPLICABLE,MISSING_GUIDE_LINK,COMPLETE,COMPLETE,COMPLETE,NONE
ATTRACTION,fort-saint-jean,---,unknown,,NOT_APPLICABLE,COMPLETE,NOT_APPLICABLE,NOT_APPLICABLE,COMPLETE,NOT_APPLICABLE,COMPLETE_UNVERIFIED,NOT_APPLICABLE,NOT_APPLICABLE,MISSING_GUIDE_LINK,COMPLETE,COMPLETE,COMPLETE,NONE
ATTRACTION,fou-de-fafa-avignon,---,avignon,,NOT_APPLICABLE,COMPLETE,NOT_APPLICABLE,NOT_APPLICABLE,COMPLETE,NOT_APPLICABLE,COMPLETE_UNVERIFIED,NOT_APPLICABLE,NOT_APPLICABLE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,NONE
ATTRACTION,fourviere,---,lyon,,NOT_APPLICABLE,COMPLETE,NOT_APPLICABLE,NOT_APPLICABLE,COMPLETE,NOT_APPLICABLE,COMPLETE_UNVERIFIED,NOT_APPLICABLE,NOT_APPLICABLE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,NONE
CAFE,girona-cathedral,---,girona,,NOT_APPLICABLE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,NOT_APPLICABLE,COMPLETE_UNVERIFIED,NOT_APPLICABLE,NOT_APPLICABLE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,NONE
ATTRACTION,giverny,---,paris,,NOT_APPLICABLE,COMPLETE,NOT_APPLICABLE,NOT_APPLICABLE,COMPLETE,NOT_APPLICABLE,COMPLETE_UNVERIFIED,NOT_APPLICABLE,NOT_APPLICABLE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,NONE
ATTRACTION,glanum,---,unknown,,NOT_APPLICABLE,COMPLETE,NOT_APPLICABLE,NOT_APPLICABLE,COMPLETE,NOT_APPLICABLE,COMPLETE_UNVERIFIED,NOT_APPLICABLE,NOT_APPLICABLE,MISSING_GUIDE_LINK,COMPLETE,COMPLETE,COMPLETE,NONE
ATTRACTION,gordes,---,luberon,,NOT_APPLICABLE,COMPLETE,NOT_APPLICABLE,NOT_APPLICABLE,COMPLETE,NOT_APPLICABLE,COMPLETE_UNVERIFIED,NOT_APPLICABLE,NOT_APPLICABLE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,NONE
ATTRACTION,goult,---,luberon,,NOT_APPLICABLE,COMPLETE,NOT_APPLICABLE,NOT_APPLICABLE,COMPLETE,NOT_APPLICABLE,COMPLETE_UNVERIFIED,NOT_APPLICABLE,NOT_APPLICABLE,COMPLETE,COMPLETE,COMPLETE,COMPLETE,NONE
